               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10856,              0.0391,                   0,             0.14475,            0.063584,            0.039113,            0.012381,            0.088579,            0.026194,                   0,            0.070448,           0.0032836,           0.0032836
                   1,            0.080582,            0.040866,                   0,             0.25565,             0.27168,             0.16483,            0.041359,            0.074719,            0.025779,                   0,            0.040317,           0.0064859,           0.0064859
                   2,            0.071326,            0.037232,                   0,             0.18104,              0.2659,             0.13494,            0.038206,            0.070717,            0.023605,                   0,            0.010054,           0.0095562,           0.0095562
                   3,            0.065174,             0.03524,                   0,             0.41129,             0.36994,             0.34393,              0.1475,            0.060787,            0.024138,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.058226,            0.031526,                   0,              0.5096,             0.40751,             0.41295,             0.13794,            0.061495,            0.021437,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.052925,              0.0315,                   0,             0.53754,             0.57225,             0.55122,              0.2757,            0.045633,            0.021372,                   0,            0.009208,            0.009208,            0.009208
                   6,             0.04783,            0.030152,                   0,             0.64514,             0.53596,             0.56138,             0.24678,            0.052129,            0.021738,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.047555,            0.028595,                   0,             0.70738,             0.57989,              0.6177,              0.2477,            0.049578,            0.021224,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.044856,            0.028503,                   0,             0.77363,             0.64162,             0.71251,              0.3258,            0.042264,            0.020505,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.043653,            0.028088,                   0,             0.81096,             0.60116,             0.70241,             0.34662,            0.041821,            0.021073,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.041335,            0.027645,                   0,             0.74317,             0.61049,              0.6781,             0.35886,            0.041652,            0.021673,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.040563,            0.027381,                   0,             0.76569,             0.64222,             0.71472,             0.39419,            0.038848,             0.02117,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.039358,            0.028042,                   0,             0.76545,             0.68855,             0.75798,             0.42687,            0.038064,            0.019657,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.038975,            0.026607,                   0,             0.74498,             0.72543,             0.78471,             0.42895,            0.036645,            0.019238,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.038966,            0.026041,                   0,             0.82229,             0.66865,              0.7879,             0.45082,            0.036438,             0.01968,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.036585,            0.026407,                   0,              0.7791,             0.62717,             0.70335,             0.38059,            0.039425,            0.020988,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.037334,            0.024365,                   0,             0.76635,             0.68497,             0.74789,             0.42005,            0.036786,            0.020074,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.035843,            0.024162,                   0,             0.85594,             0.64162,             0.75428,             0.39631,            0.039534,            0.019594,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.035917,            0.026292,                   0,             0.76869,             0.62429,              0.7013,             0.38677,            0.040047,            0.022974,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.035762,            0.026096,                   0,             0.76044,             0.69364,             0.76617,             0.43196,            0.036774,            0.020631,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.034619,            0.025929,                   0,              0.7532,             0.73121,             0.76342,             0.41906,            0.038488,            0.020615,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.033503,            0.023483,                   0,              0.7818,             0.73525,             0.78055,              0.4119,            0.038392,            0.019936,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.033286,            0.023762,                   0,             0.70772,             0.69075,             0.71797,             0.40428,            0.037506,            0.021476,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.032965,            0.023546,                   0,             0.78659,             0.71098,             0.78397,             0.44525,             0.03547,            0.020039,                   0,            0.005644,            0.005644,            0.005644
                  24,              0.0316,            0.022034,                   0,             0.74871,             0.73121,             0.77388,             0.44363,            0.036381,            0.020157,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.031796,            0.022487,                   0,             0.78811,             0.69875,             0.76515,             0.44474,            0.036859,            0.021529,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.031175,            0.023434,                   0,             0.80141,             0.71098,             0.78473,             0.46509,            0.036115,            0.020292,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.03184,            0.023075,                   0,             0.80868,             0.69942,             0.78877,             0.46027,            0.035333,            0.020423,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.030491,            0.021998,                   0,             0.77204,             0.74855,             0.79578,              0.4567,            0.035468,            0.020151,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.030397,            0.021634,                   0,             0.80436,             0.73674,             0.81117,              0.4872,            0.034362,            0.019622,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.030497,            0.022816,                   0,             0.82247,             0.72254,             0.80515,             0.47637,            0.035066,            0.020544,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.029967,             0.02241,                   0,             0.82983,              0.7052,             0.78695,             0.47243,            0.034857,            0.020913,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.029682,            0.021322,                   0,             0.76945,             0.73308,             0.80149,             0.48748,               0.034,            0.020896,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.029549,            0.022029,                   0,             0.80961,             0.71965,             0.80692,             0.48575,            0.034199,            0.020651,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.028494,            0.021668,                   0,             0.78539,             0.75434,              0.8025,             0.48199,            0.033898,             0.01971,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.028904,            0.021347,                   0,             0.78441,             0.74661,              0.8033,             0.47941,             0.03329,            0.019535,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.028192,            0.020648,                   0,              0.8119,             0.74855,             0.81411,             0.48866,            0.033555,            0.019611,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.027189,            0.020756,                   0,             0.80564,             0.71965,             0.81217,             0.49402,              0.0335,            0.019715,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.027566,            0.021008,                   0,             0.78222,             0.73699,             0.80599,             0.49526,             0.03336,            0.020456,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.026791,            0.021015,                   0,             0.78418,              0.7341,             0.80523,             0.49628,            0.033201,            0.019984,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.02704,            0.020668,                   0,             0.78153,             0.76509,              0.8107,             0.50312,            0.033131,             0.02043,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.027544,            0.021013,                   0,             0.81077,             0.72832,             0.80622,              0.4992,            0.033145,            0.020457,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.026525,            0.019263,                   0,             0.85351,              0.7052,             0.80421,             0.49767,             0.03399,            0.020854,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.026299,            0.020488,                   0,             0.84388,               0.703,              0.8094,             0.50393,            0.033213,            0.020549,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.026282,            0.020177,                   0,             0.80038,             0.74165,             0.81609,             0.50284,            0.033296,            0.020529,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.026032,            0.020196,                   0,              0.7784,              0.7411,             0.80576,             0.50328,            0.033168,            0.020757,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.025844,            0.020273,                   0,             0.80879,             0.72129,             0.81113,             0.50064,            0.033238,            0.020615,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.025949,            0.019032,                   0,             0.82889,             0.70231,             0.81069,             0.50441,            0.033276,            0.020473,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.025194,            0.019129,                   0,             0.80266,             0.72882,             0.81561,             0.49893,            0.033418,             0.02016,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.025641,            0.018791,                   0,             0.80733,             0.73875,             0.82133,             0.50733,            0.033197,            0.020018,                   0,            0.000496,            0.000496,            0.000496
